RegionID, CentroidX, CentroidY, CentroidZ, Volume
00234, 548.83, 196.43, 187.67, 17806
00289, 540.52, 200.90, 186.99, 66137
00729, 527.97, 206.79, 183.96, 32527
00786, 525.04, 207.53, 184.97, 10836
00922, 552.44, 256.77, 176.86, 74751
00335, 534.23, 252.21, 177.65, 9766
00368, 531.06, 248.83, 179.66, 3989
00540, 570.63, 259.40, 177.97, 16052
00692, 544.59, 255.61, 176.13, 21851
00888, 558.57, 259.34, 175.98, 23093
00895, 541.52, 207.07, 195.59, 187203
00836, 561.37, 209.87, 195.07, 37970
00427, 546.48, 202.11, 198.35, 60274
00988, 532.94, 206.39, 195.68, 56753
00977, 522.11, 210.41, 192.70, 25428
01045, 530.53, 228.69, 184.15, 6778
00698, 422.75, 292.68, 91.27, 2179976
00507, 373.32, 243.78, 45.78, 805686
00212, 372.06, 245.70, 44.86, 192408
00220, 374.55, 237.40, 47.57, 221171
00228, 374.51, 237.82, 45.34, 41553
00236, 373.01, 240.22, 46.62, 37648
00244, 371.24, 239.70, 46.51, 197561
00151, 385.86, 202.75, 54.05, 49797
00188, 385.13, 194.20, 56.43, 8730
00196, 384.44, 211.45, 51.64, 12775
00204, 386.65, 205.48, 55.36, 9553
00159, 387.81, 286.37, 71.12, 247882
00167, 397.74, 258.81, 71.49, 16759
00175, 394.34, 270.16, 60.51, 17207
00183, 395.20, 273.01, 66.34, 36563
00191, 363.42, 289.46, 77.73, 39249
00199, 380.16, 318.28, 79.01, 35226
00160, 393.62, 287.33, 69.89, 96256
00168, 387.81, 286.37, 71.12, 247882
00589, 346.29, 282.71, 83.50, 80201
00597, 346.29, 282.71, 83.50, 80201
00297, 346.29, 282.71, 83.50, 80201
01034, 337.03, 268.52, 82.26, 16554
01042, 345.81, 269.26, 83.15, 20502
01050, 351.92, 268.81, 86.40, 17430
01059, 354.98, 255.52, 92.82, 5816
00605, 346.29, 282.71, 83.50, 80201
00306, 346.29, 282.71, 83.50, 80201
01067, 342.47, 332.71, 79.12, 8803
01075, 348.79, 327.34, 79.47, 7310
